baseItem,category,tier,cost,nMats,mat1,mat1count,mat2,mat2count,mat3,mat3count,mat4,mat4count,mat5,mat5count,mat6,mat6count
Infantry Helm,13,3,2640,2,Drilled Plate Sheet,1,Scroll of Protection,1,,,,,,,,
Beast Coif,13,0,3040,1,Large Fang,2,,,,,,,,,,
Beast Coif,13,1,3040,2,Supple Fur,1,Large Fang,1,,,,,,,,
Beast Coif,13,2,3040,2,Strong Animal Leather,1,Scroll of Power,1,,,,,,,,
Beast Coif,13,3,3040,3,Leather Cloth,1,Beast Fur,1,Large Beast-Steak,1,,,,,,
Pirate's Cap,13,0,3360,1,Lindwurm Fin,1,,,,,,,,,,
Pirate's Cap,13,1,3360,2,Rugged Leather,1,Beautiful Conch Shell,1,,,,,,,,
Pirate's Cap,13,2,3360,2,Lindwurm Fin,1,Iron Thread,1,,,,,,,,
Pirate's Cap,13,3,3360,3,Dragon Hide,1,Energy Liquid,1,Scroll of Defense,1,,,,,,
Shooter's Hood,13,0,4640,2,Smooth Leather,1,Giant Eyeball,1,,,,,,,,
Shooter's Hood,13,1,4640,2,Troll's Blue Poisonous Moss,1,Blessed Drop,1,,,,,,,,
Shooter's Hood,13,2,4640,2,Giant Tough Pelt,1,Cursed Cloth,1,,,,,,,,
Shooter's Hood,13,3,4640,2,White Lion Pelt,1,Drómi,1,,,,,,,,
Capture Hood,13,0,4320,2,Dragonleather,1,Griffin Beak,1,,,,,,,,
Capture Hood,13,1,4320,3,Beast Leather,1,Giant Fur,1,Rock Scale,1,,,,,,
Capture Hood,13,2,4320,2,Necrophagous Bristle,1,Sandcrystal,1,,,,,,,,
Capture Hood,13,3,4320,2,Sphinx Claw,1,Scroll of Defense,1,,,,,,,,
Officer's Cap,13,0,4000,2,Hard Leather Cloth,1,Griffin Beak,1,,,,,,,,
Officer's Cap,13,1,4000,3,Smooth Leather,1,Ogre Fur,1,White Shining Sand,1,,,,,,
Officer's Cap,13,2,4000,2,Sphinx Azure Pinion,1,Dragonleather,1,,,,,,,,
Officer's Cap,13,3,4000,3,Ogre Fur,1,Scroll of Defense,1,Deenan Hyssop,1,,,,,,
Faith Hood,13,0,8200,2,Gold-Stained Animal Fur,1,Phyton Liquid,1,,,,,,,,
Faith Hood,13,1,8200,2,Gold-Stained Animal Fur,1,Ball Moss,1,,,,,,,,
Faith Hood,13,2,8200,1,Slimy Hide,1,,,,,,,,,,
Faith Hood,13,3,8200,1,Slimy Hide,1,,,,,,,,,,
Aloni Headgear,13,0,-1,0,,,,,,,,,,,,
Aloni Headgear,13,1,-1,0,,,,,,,,,,,,
Aloni Headgear,13,2,-1,0,,,,,,,,,,,,
Aloni Headgear,13,3,-1,0,,,,,,,,,,,,
Black Bart's Cap,13,0,8800,4,Lindwurm Fin,5,Goat Horn,3,Scale Dust,2,Large-Grained Sand,1,,,,
Black Bart's Cap,13,1,8800,4,Griffin Beak,5,Giant Eyeball,3,Scale Dust,3,Large-Grained Sand,1,,,,
Black Bart's Cap,13,2,8800,5,Cockatrice Liquor,5,Smooth Dragonleather,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,,
Black Bart's Cap,13,3,-1,0,,,,,,,,,,,,
Ruby Brigade Cap,13,0,-1,0,,,,,,,,,,,,
Ruby Brigade Cap,13,1,-1,0,,,,,,,,,,,,
Ruby Brigade Cap,13,2,-1,0,,,,,,,,,,,,
Ruby Brigade Cap,13,3,-1,0,,,,,,,,,,,,
Ancient Hood,13,0,10720,2,Bright Gold Feather,1,Gold Thread,1,,,,,,,,
Ancient Hood,13,1,10720,3,Alchemite,1,Writhing Live Bark,1,Scale Dust,1,,,,,,
Ancient Hood,13,2,10720,5,Dark Metal,1,Dragon Horn,1,Scale Dust,2,Large-Grained Sand,1,Lumina Lestalite,1,,
Ancient Hood,13,3,10720,6,Nightmare's Vocal Cords,1,Ancient Knight's Emblem,2,Scale Dust,3,Large-Grained Sand,1,Ancient Scale Dust,1,Lumina Lestalite,1
Old Age Hood,13,0,10720,2,Alchemized Armor Plate,2,Magick Gold Ingot,1,,,,,,,,
Old Age Hood,13,1,10720,3,Alchemite,1,Demon's Prized Liquor,1,Scale Dust,1,,,,,,
Old Age Hood,13,2,-1,0,,,,,,,,,,,,
Old Age Hood,13,3,-1,0,,,,,,,,,,,,
Buccaneer's Cap,13,0,5200,3,Beast Leather,1,Silver Bristle,1,Sinister Carrion,1,,,,,,
Buccaneer's Cap,13,1,5200,2,Cockatrice Poison Gland,1,Deenan Hyssop,1,,,,,,,,
Buccaneer's Cap,13,2,5200,3,Corpse-Eater's Horn,1,Blow-Resistant Cloth,1,Goblin's Flower,1,,,,,,
Buccaneer's Cap,13,3,5200,3,Thick Dragonscale,1,Drómi,1,Emerald,1,,,,,,
Explorer Hat,13,0,7360,2,Bloodstained Red Cloth,2,Silver Bristle,2,,,,,,,,
Explorer Hat,13,1,7360,2,Dragonleather,2,Pure White Mane,1,,,,,,,,
Explorer Hat,13,2,7360,2,Giant Tough Pelt,2,Behemoth Fang,1,,,,,,,,
Explorer Hat,13,3,7360,2,Combat Fabric,3,Smooth Dragonleather,1,,,,,,,,
Amilec Mask,13,0,11360,3,Ancient Knight's Emblem,5,Scale Dust,1,Lumina Lestalite,1,,,,,,
Amilec Mask,13,1,11360,4,Huge Dragon Bone Lump,3,Scale Dust,2,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Amilec Mask,13,2,11360,5,Spectral Dragon Claw,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Amilec Mask,13,3,11360,5,Spectral Dragon Claw,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Rubedo Mask,13,0,11360,3,Spirit Crystal,2,Scale Dust,1,Lumina Lestalite,1,,,,,,
Rubedo Mask,13,1,11360,4,Spectral Dragonscale,3,Scale Dust,2,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Rubedo Mask,13,2,11360,5,Azure Dragonscale,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Rubedo Mask,13,3,11360,5,Amber Dragonscale,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Empyreal Guard,13,0,6600,2,Tomb Gravel,1,Grimoire Scrap,1,,,,,,,,
Empyreal Guard,13,1,6600,3,Silver Moss,1,Tomb Gravel,1,Silver Moss,1,,,,,,
Empyreal Guard,13,2,6600,1,Stalactite Tip,1,,,,,,,,,,
Empyreal Guard,13,3,6600,1,Stalactite Tip,1,,,,,,,,,,
Hanzou Mask,13,0,-1,0,,,,,,,,,,,,
Hanzou Mask,13,1,-1,0,,,,,,,,,,,,
Hanzou Mask,13,2,9440,2,Griffin Glossy Plume,1,Wind Twine,1,,,,,,,,
Hanzou Mask,13,3,9440,3,Flame Crystal,1,Giant Single Pelt,1,Gold Thread,1,,,,,,
Ranger Jacket,14,0,1360,1,Strong Viscous Liquid,1,,,,,,,,,,
Ranger Jacket,14,1,1360,1,Unrefined Demon Wine,1,,,,,,,,,,
Ranger Jacket,14,2,1360,1,Unrefined Demon Wine,1,,,,,,,,,,
Ranger Jacket,14,3,1360,1,Ape Pelt,1,,,,,,,,,,
Hunter Jacket,14,0,1500,1,Glowworm,1,,,,,,,,,,
Hunter Jacket,14,1,1500,1,Green Seed,1,,,,,,,,,,
Hunter Jacket,14,2,1500,1,Ape Fur,1,,,,,,,,,,
Hunter Jacket,14,3,1500,2,Ape Pelt,1,Clear Water,1,,,,,,,,
Wanderer's Jacket,14,0,1700,1,Lizardscale Pelt,1,,,,,,,,,,
Wanderer's Jacket,14,1,1700,1,Lizardscale Pelt,1,,,,,,,,,,
Wanderer's Jacket,14,2,1700,1,Large Beast-Steak,1,,,,,,,,,,
Wanderer's Jacket,14,3,1700,2,Ape Fur,1,Leather Cord,1,,,,,,,,
Drachenschuppe,14,0,4600,2,Scroll of Defense,2,Cerussite,2,,,,,,,,
Drachenschuppe,14,1,4600,3,Hidell Medal,1,Dragon Hide,2,Magick Medal,1,,,,,,
Drachenschuppe,14,2,4600,3,Breya Medal,1,Griffin Feather,1,Red Alloy Ingot,2,,,,,,
Drachenschuppe,14,3,4600,3,Dowe Medal,1,Necrophagous Bristle,1,Griffin Beak,1,,,,,,
Silver Lorica,14,0,1900,1,Drilled Ore,1,,,,,,,,,,
Silver Lorica,14,1,1900,1,Drilled Ore,1,,,,,,,,,,
Silver Lorica,14,2,1900,2,Strong Animal Leather,1,Clear Water,1,,,,,,,,
Silver Lorica,14,3,1900,2,Drilled Ore,1,Strong Animal Leather,1,,,,,,,,
Combat Guard,14,0,2200,1,Large Fang,1,,,,,,,,,,
Combat Guard,14,1,2200,1,Hematite,1,,,,,,,,,,
Combat Guard,14,2,2200,2,Hematite,1,Large Fang,1,,,,,,,,
Combat Guard,14,3,2200,2,Leather Cloth,1,Hematite Sand,1,,,,,,,,
Huntsman Jacket,14,0,2500,1,Ape Pelt,1,,,,,,,,,,
Huntsman Jacket,14,1,2500,1,Large Simian Thick Pelt,1,,,,,,,,,,
Huntsman Jacket,14,2,2500,2,Harpy Pinion,1,Wild Herb,1,,,,,,,,
Huntsman Jacket,14,3,2500,2,Harpy Pinion,1,Iron Thread,1,,,,,,,,
Vagrant Armor,14,0,2800,1,Strong Lizardscale Pelt,1,,,,,,,,,,
Vagrant Armor,14,1,2800,2,Strong Lizardscale Pelt,1,Animal Fur,1,,,,,,,,
Vagrant Armor,14,2,2800,2,Goblin Gunpowder,1,Red Sage,1,,,,,,,,
Vagrant Armor,14,3,2800,2,Sharp Claw,1,Blue Flower,1,,,,,,,,
Vagabond Armor,14,0,3300,1,Smooth Leather,1,,,,,,,,,,
Vagabond Armor,14,1,3300,2,Smooth Leather,1,Scroll of Protection,1,,,,,,,,
Vagabond Armor,14,2,3300,2,Crooked Fang,1,Dry Bone,1,,,,,,,,
Vagabond Armor,14,3,3300,2,Hard Leather Cloth,1,High Quality Gala Mushroom,1,,,,,,,,
Beast Padding,14,0,3800,1,Large Simian Thick Pelt,1,,,,,,,,,,
Beast Padding,14,1,3800,2,Rock Scale,1,Beast Fur,1,,,,,,,,
Beast Padding,14,2,3800,2,Beast Fur,1,Giant Bone,1,,,,,,,,
Beast Padding,14,3,3800,3,Leather Cloth,1,Giant Fur,1,Magick Silt,1,,,,,,
Pirate's Jacket,14,0,4200,1,Dragon Hide,1,,,,,,,,,,
Pirate's Jacket,14,1,4200,2,Strong Lizardscale Pelt,1,Beast Claw,1,,,,,,,,
Pirate's Jacket,14,2,4200,2,Courtly Cloth,1,Broken Dagger,1,,,,,,,,
Pirate's Jacket,14,3,4200,3,Dragonleather,1,Apophyllite,1,Scroll of Great Strength,1,,,,,,
Scale Jacket,14,0,5000,2,Rugged Leather,1,Orb of Darkness,1,,,,,,,,
Scale Jacket,14,1,5000,3,Smooth Leather,1,Giant Fur,1,Sequoia Wood,1,,,,,,
Scale Jacket,14,2,5000,2,Griffin Feather,1,Strong Thread,1,,,,,,,,
Scale Jacket,14,3,5000,3,Beast's Mane,1,Sandcrystal,1,Scroll of Great Strength,1,,,,,,
Raider's Jacket,14,0,5400,2,Dragon Hide,1,Giant Tough Pelt,1,,,,,,,,
Raider's Jacket,14,1,5400,3,Smooth Leather,1,Sphinx Azure Pinion,1,Strong Lizardscale Pelt,1,,,,,,
Raider's Jacket,14,2,5400,2,Giant Eyeball,1,Black Wood,1,,,,,,,,
Raider's Jacket,14,3,5400,2,Ambrosial Beast-Steak,1,Dragonleather,1,,,,,,,,
Hard Skin Armor,14,0,5800,2,Beast Leather,2,Lindwurm Fin,1,,,,,,,,
Hard Skin Armor,14,1,5800,2,Cockatrice Raven Pinion,1,Pearl Mushroom,1,,,,,,,,
Hard Skin Armor,14,2,5800,2,Pure White Mane,1,Sinister Black Cloth,1,,,,,,,,
Hard Skin Armor,14,3,5800,2,Thick Dragonscale,1,Drómi,1,,,,,,,,
Faith Jacket,14,0,13500,2,Gold-Stained Animal Fur,1,Phyton Liquid,1,,,,,,,,
Faith Jacket,14,1,13500,2,Gold-Stained Animal Fur,1,Ball Moss,1,,,,,,,,
Faith Jacket,14,2,13500,1,Slimy Hide,1,,,,,,,,,,
Faith Jacket,14,3,13500,1,Slimy Hide,1,,,,,,,,,,
Spirit Guard,14,0,-1,0,,,,,,,,,,,,
Spirit Guard,14,1,-1,0,,,,,,,,,,,,
Spirit Guard,14,2,-1,0,,,,,,,,,,,,
Spirit Guard,14,3,-1,0,,,,,,,,,,,,
Black Bart's Jacket,14,0,11000,4,Colossus Horn,5,Water Dragon Fang,3,Scale Dust,2,Large-Grained Sand,1,,,,
Black Bart's Jacket,14,1,11000,4,Mutated Bone Lump,5,Ambrosial Beast-Steak,3,Scale Dust,2,Large-Grained Sand,1,,,,
Black Bart's Jacket,14,2,11000,5,Angules Horn,5,Thick Dragonscale,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,,
Black Bart's Jacket,14,3,-1,0,,,,,,,,,,,,
Dandy's Jacket,14,0,-1,0,,,,,,,,,,,,
Dandy's Jacket,14,1,-1,0,,,,,,,,,,,,
Dandy's Jacket,14,2,-1,0,,,,,,,,,,,,
Dandy's Jacket,14,3,-1,0,,,,,,,,,,,,
Ancient Jacket,14,0,-1,0,,,,,,,,,,,,
Ancient Jacket,14,1,-1,0,,,,,,,,,,,,
Ancient Jacket,14,2,-1,0,,,,,,,,,,,,
Ancient Jacket,14,3,-1,0,,,,,,,,,,,,
Old Age Jacket,14,0,15160,2,Shadowy Claw,1,Spiritual Will Fragment,2,,,,,,,,
Old Age Jacket,14,1,15160,3,Spirit Crystal,1,Sand of Reminiscence,1,Scale Dust,1,,,,,,
Old Age Jacket,14,2,-1,0,,,,,,,,,,,,
Old Age Jacket,14,3,-1,0,,,,,,,,,,,,
Buccaneer's Jacket,14,0,6500,3,Beast Leather,1,Troll's Blue Poisonous Moss,1,Orc's War Tusk,1,,,,,,
Buccaneer's Jacket,14,1,6500,2,Cockatrice Poison Gland,1,Pearl Mushroom,1,,,,,,,,
Buccaneer's Jacket,14,2,6500,3,Behemoth Fang,1,Drómi,1,Orc's War Tusk,1,,,,,,
Buccaneer's Jacket,14,3,6500,3,Bluish Gray Dragonscale,1,Gold Ingot,1,Pigeon Blood,1,,,,,,
Jackal Armor,14,0,-1,0,,,,,,,,,,,,
Jackal Armor,14,1,-1,0,,,,,,,,,,,,
Jackal Armor,14,2,-1,0,,,,,,,,,,,,
Jackal Armor,14,3,-1,0,,,,,,,,,,,,
Amilec Jacket,14,0,16280,3,Spirit Crystal,2,Scale Dust,2,Lumina Lestalite,1,,,,,,
Amilec Jacket,14,1,16280,4,Huge Dragon Bone Lump,3,Scale Dust,3,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Amilec Jacket,14,2,16280,5,Spectral Dragon Claw,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Amilec Jacket,14,3,-1,0,,,,,,,,,,,,
Rubedo Jacket,14,0,16280,3,Ancient Knight's Emblem,5,Scale Dust,1,Lumina Lestalite,1,,,,,,
Rubedo Jacket,14,1,16280,4,Spectral Dragonscale,2,Scale Dust,2,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Rubedo Jacket,14,2,16280,5,Spectral Dragon Fang,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Rubedo Jacket,14,3,16280,5,Azure Dragonscale,3,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Supernal Jacket,14,0,10700,2,Tomb Gravel,1,Grimoire Scrap,1,,,,,,,,
Supernal Jacket,14,1,10700,2,Tomb Gravel,1,Silver Moss,1,,,,,,,,
Supernal Jacket,14,2,10700,1,Stalactite Tip,2,,,,,,,,,,
Supernal Jacket,14,3,10700,1,Stalactite Tip,2,,,,,,,,,,
Lord of Strider,14,0,-1,0,,,,,,,,,,,,
Lord of Strider,14,1,-1,0,,,,,,,,,,,,
Lord of Strider,14,2,-1,0,,,,,,,,,,,,
Lord of Strider,14,3,-1,0,,,,,,,,,,,,
White Thigh-highs,18,0,1060,1,White Liquor,1,,,,,,,,,,
White Thigh-highs,18,1,1060,1,Angelica,1,,,,,,,,,,
White Thigh-highs,18,2,1060,1,Harpy Pinion,1,,,,,,,,,,
White Thigh-highs,18,3,1060,2,Peridot,1,Clear Insect Wing,1,,,,,,,,
Black Gaiters,18,0,1200,1,Black Tar,1,,,,,,,,,,
Black Gaiters,18,1,1200,1,Stagnant Water,1,,,,,,,,,,
Black Gaiters,18,2,1200,1,Strong Viscous Liquid,1,,,,,,,,,,
Black Gaiters,18,3,1200,2,Harpy Pinion,1,Undead Carrion,1,,,,,,,,
Ranger Gloves,15,0,1090,1,Goblin Horn,1,,,,,,,,,,
Ranger Gloves,15,1,1090,1,Goblin Horn,1,,,,,,,,,,
Ranger Gloves,15,2,1090,1,Orc Tusk,1,,,,,,,,,,
Ranger Gloves,15,3,1090,2,Ape Pelt,1,Beast-Steak,1,,,,,,,,
Ranger Cuisses,16,0,900,1,Saurian Tail,1,,,,,,,,,,
Ranger Cuisses,16,1,900,1,Hematite Sand,1,,,,,,,,,,
Ranger Cuisses,16,2,900,1,Spinel,1,,,,,,,,,,
Ranger Cuisses,16,3,900,1,Scroll of Power,1,,,,,,,,,,
Assassin's Bottoms,16,0,1350,1,Undead Carrion,1,,,,,,,,,,
Assassin's Bottoms,16,1,1350,1,Dry Bone,1,,,,,,,,,,
Assassin's Bottoms,16,2,1350,1,Rotten Lump,1,,,,,,,,,,
Assassin's Bottoms,16,3,1350,2,Bloodstained Red Cloth,1,Stagnant Shroom,1,,,,,,,,
Striker's Greaves,16,0,1350,1,Iron Ore,1,,,,,,,,,,
Striker's Greaves,16,1,1350,1,Goblin Horn,1,,,,,,,,,,
Striker's Greaves,16,2,1350,1,Orc Tusk,1,,,,,,,,,,
Striker's Greaves,16,3,1350,2,Ape Fur,1,Beast-Steak,1,,,,,,,,
Drachen-Pein,16,0,4500,2,Courtly Cloth,2,Superior Saurian Tail,2,,,,,,,,
Drachen-Pein,16,1,4500,3,Mysree Medal,1,Dragon Hide,2,Colossus Horn,1,,,,,,
Drachen-Pein,16,2,4500,3,Breya Medal,1,Protective Cloth,2,Sphinx Claw,1,,,,,,
Drachen-Pein,16,3,4500,3,Dowe Medal,1,Giant Tough Pelt,1,Sphinx Azure Pinion,1,,,,,,
Victory Legs,16,0,1800,1,Moonlight Mushroom,1,,,,,,,,,,
Victory Legs,16,1,1800,1,Marble,1,,,,,,,,,,
Victory Legs,16,2,1800,2,Fine Bleached Bone,1,Clear Spring Water,1,,,,,,,,
Victory Legs,16,3,1800,2,Ape Pelt,1,Clear Spring Water,1,,,,,,,,
Nature Cuisses,16,0,1800,1,Ape Fur,1,,,,,,,,,,
Nature Cuisses,16,1,1800,1,Strong Animal Leather,1,,,,,,,,,,
Nature Cuisses,16,2,1800,2,Monster Gallstone,1,Red Sage,1,,,,,,,,
Nature Cuisses,16,3,1800,2,Hard Leather Cloth,1,Rock Scale,1,,,,,,,,
Huntsman's Cuisses,16,0,1800,1,Harpy Flight Feather,1,,,,,,,,,,
Huntsman's Cuisses,16,1,1800,1,Strong Animal Leather,1,,,,,,,,,,
Huntsman's Cuisses,16,2,1800,2,Ape Pelt,1,Large Beast-Steak,1,,,,,,,,
Huntsman's Cuisses,16,3,1800,3,Hard Leather Cloth,1,Goblin's Leaf,1,Large Beast-Steak,1,,,,,,
Soldier's Greaves,16,0,2700,1,Silver Ore,1,,,,,,,,,,
Soldier's Greaves,16,1,2700,2,Silver Ore,1,Scroll of Protection,1,,,,,,,,
Soldier's Greaves,16,2,2700,2,Blue Alluvial Gold,1,Blue Flower,1,,,,,,,,
Soldier's Greaves,16,3,2700,3,Silver Ingot,1,Orc Tusk,1,Insect Venom,1,,,,,,
Ninja Bottoms,16,0,2700,1,Strong Lizardscale Pelt,1,,,,,,,,,,
Ninja Bottoms,16,1,2700,2,Strong Lizardscale Pelt,1,Undead Extract,1,,,,,,,,
Ninja Bottoms,16,2,2700,2,Strong Acid Slime Piece,1,Ape Fur,1,,,,,,,,
Ninja Bottoms,16,3,2700,3,Courtly Cloth,1,Onyx,1,Harpy Flight Feather,1,,,,,,
Extra Bottoms,16,0,3600,1,Broken Dagger,1,,,,,,,,,,
Extra Bottoms,16,1,3600,2,Smooth Leather,1,Blue Flower,1,,,,,,,,
Extra Bottoms,16,2,3600,2,Rugged Leather,1,Healing Drop,1,,,,,,,,
Extra Bottoms,16,3,3600,3,Demon Thread,1,Beast Fur,1,Scroll of Darkness,1,,,,,,
Pirate's Legs,16,0,3600,1,Dragon Hide,1,,,,,,,,,,
Pirate's Legs,16,1,3600,2,Large Simian Thick Pelt,1,White Wood,1,,,,,,,,
Pirate's Legs,16,2,3600,2,Saurian Gland,1,Ent Leaf,1,,,,,,,,
Pirate's Legs,16,3,3600,3,Lindwurm Fin,1,Marbled Beast-Steak,1,Strong Acid Slime Piece,1,,,,,,
Backwater Waistguard,16,0,5400,2,Courtly Cloth,1,Giant's Horn,1,,,,,,,,
Backwater Waistguard,16,1,5400,3,Pyrite,1,Sphinx Azure Pinion,1,Healing Drop,1,,,,,,
Backwater Waistguard,16,2,5400,2,Griffin Feather,1,Protective Cloth,1,,,,,,,,
Backwater Waistguard,16,3,5400,3,Beast's Mane,1,Demon Thread,1,Black Wood,1,,,,,,
Raider's Greaves,16,0,5400,2,Phantom Ore,1,Sphinx Hair,1,,,,,,,,
Raider's Greaves,16,1,5400,3,Cerussite,1,Giant Fur,1,Beast Fur,1,,,,,,
Raider's Greaves,16,2,5400,2,Ent Seed,1,Mithril Ore,1,,,,,,,,
Raider's Greaves,16,3,5400,2,Giant Eyeball,1,Red Alloy Ingot,1,,,,,,,,
Leader Leg Guards,16,0,5400,2,Dragon Hide,1,Giant Eyeball,1,,,,,,,,
Leader Leg Guards,16,1,5400,2,Magickal Potion,1,Blessed Drop,1,,,,,,,,
Leader Leg Guards,16,2,5400,2,Corpse-Eater's Horn,1,Sinister Black Cloth,1,,,,,,,,
Leader Leg Guards,16,3,5400,2,White Lion Pelt,1,Drómi,1,,,,,,,,
Faith Cuisses,16,0,10000,2,Phyton Liquid,1,Gold-Stained Animal Fur,1,,,,,,,,
Faith Cuisses,16,1,10000,2,Gold-Stained Animal Fur,1,Ball Moss,1,,,,,,,,
Faith Cuisses,16,2,10000,1,Slimy Hide,1,,,,,,,,,,
Faith Cuisses,16,3,10000,1,Slimy Hide,1,,,,,,,,,,
Fur Cuisses,16,0,-1,0,,,,,,,,,,,,
Fur Cuisses,16,1,-1,0,,,,,,,,,,,,
Fur Cuisses,16,2,-1,0,,,,,,,,,,,,
Fur Cuisses,16,3,-1,0,,,,,,,,,,,,
Black Bart's Legs,16,0,9900,4,Colossus Horn,5,Goat Horn,3,Scale Dust,2,Large-Grained Sand,1,,,,
Black Bart's Legs,16,1,9900,4,Rugged Leather,5,Water Dragon Fang,3,Scale Dust,3,Large-Grained Sand,1,,,,
Black Bart's Legs,16,2,9900,5,Pure White Mane,5,Cockatrice Poison Gland,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,,
Black Bart's Legs,16,3,9900,5,Exquisite Metal Plate,1,Alchemized Armor Plate,3,Scale Dust,5,Large-Grained Sand,3,Ancient Scale Dust,1,,
Slayer's Bottoms,16,0,-1,0,,,,,,,,,,,,
Slayer's Bottoms,16,1,-1,0,,,,,,,,,,,,
Slayer's Bottoms,16,2,-1,0,,,,,,,,,,,,
Slayer's Bottoms,16,3,-1,0,,,,,,,,,,,,
Ancient Cuisses,16,0,-1,0,,,,,,,,,,,,
Ancient Cuisses,16,1,-1,0,,,,,,,,,,,,
Ancient Cuisses,16,2,-1,0,,,,,,,,,,,,
Ancient Cuisses,16,3,-1,0,,,,,,,,,,,,
Old Age Cuisses,16,0,-1,0,,,,,,,,,,,,
Old Age Cuisses,16,1,-1,0,,,,,,,,,,,,
Old Age Cuisses,16,2,-1,0,,,,,,,,,,,,
Old Age Cuisses,16,3,-1,0,,,,,,,,,,,,
Buccaneer's Legs,16,0,6300,3,Sinister Black Cloth,1,Troll's Blue Poisonous Moss,1,Orc's War Tusk,1,,,,,,
Buccaneer's Legs,16,1,6300,2,Pure White Mane,1,Blessed Drop,1,,,,,,,,
Buccaneer's Legs,16,2,6300,3,Angules Horn,1,Blow-Resistant Cloth,1,Sinister Carrion,1,,,,,,
Buccaneer's Legs,16,3,6300,3,Bluish Gray Dragonscale,1,Drómi,1,Pigeon Blood,1,,,,,,
Explorer's Boots,16,0,8280,2,Orcish Cloth,3,Ogre Claw,2,,,,,,,,
Explorer's Boots,16,1,8280,2,Blow-Resistant Cloth,2,Cockatrice Liquor,2,,,,,,,,
Explorer's Boots,16,2,8280,2,Strong Thread,3,Angules Horn,1,,,,,,,,
Explorer's Boots,16,3,-1,0,,,,,,,,,,,,
Amilec Cuisses,16,0,13600,3,Nightmare's Vocal Cords,2,Scale Dust,2,Lumina Lestalite,1,,,,,,
Amilec Cuisses,16,1,13600,4,Huge Dragon Bone Lump,3,Scale Dust,3,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Amilec Cuisses,16,2,13600,5,Spectral Dragon Fang,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Amilec Cuisses,16,3,-1,0,,,,,,,,,,,,
Rubedo Cuisses,16,0,13600,3,Spirit Crystal,2,Scale Dust,2,Lumina Lestalite,1,,,,,,
Rubedo Cuisses,16,1,13600,4,Spectral Dragonscale,3,Scale Dust,3,Large-Grained Sand,1,Lumina Lestalite,1,,,,
Rubedo Cuisses,16,2,13600,5,Spectral Dragon Fang,3,Scale Dust,4,Large-Grained Sand,2,Ancient Scale Dust,1,Lumina Lestalite,1,,
Rubedo Cuisses,16,3,13600,5,Azure Dragonscale,3,Scale Dust,5,Large-Grained Sand,3,Ancient Scale Dust,1,Lumina Lestalite,1,,
Liberation Greaves,16,0,8000,2,Tomb Gravel,1,Grimoire Scrap,1,,,,,,,,
Liberation Greaves,16,1,8000,2,Tomb Gravel,1,Silver Moss,1,,,,,,,,
Liberation Greaves,16,2,8000,1,Stalactite Tip,2,,,,,,,,,,
Liberation Greaves,16,3,8000,1,Stalactite Tip,2,,,,,,,,,,
Land Kankar,16,0,-1,0,,,,,,,,,,,,
Land Kankar,16,1,-1,0,,,,,,,,,,,,
Land Kankar,16,2,-1,0,,,,,,,,,,,,
Land Kankar,16,3,-1,0,,,,,,,,,,,,
Composite Sleeves,15,0,1200,1,Iron Ore Fragment,1,,,,,,,,,,
Composite Sleeves,15,1,1200,1,Iron Ore,1,,,,,,,,,,
Composite Sleeves,15,2,1200,1,Goblin's Leaf,1,,,,,,,,,,
Composite Sleeves,15,3,1200,2,Ape Pelt,1,Unrefined Demon Wine,1,,,,,,,,
Striker Arms,15,0,1360,1,Iron Ore,1,,,,,,,,,,
Striker Arms,15,1,1360,1,Iron Ore,1,,,,,,,,,,
Striker Arms,15,2,1360,1,Red Liquor,1,,,,,,,,,,
Striker Arms,15,3,1360,2,Leather Cord,1,Red Liquor,1,,,,,,,,
Drachennägel,15,0,3680,2,King Bay Leaf,2,Dragon Hide,1,,,,,,,,
Drachennägel,15,1,3680,3,Hidell Medal,1,Dragon Hide,3,Sphinx Azure Pinion,1,,,,,,
Drachennägel,15,2,3680,3,Mysree Medal,1,Mutated Bone Lump,2,Bornite Ingot,2,,,,,,
Drachennägel,15,3,3680,3,Volden Medal,1,Giant Tough Pelt,1,Red Alloy Ingot,1,,,,,,
